date,temperature,humidity,rainfall,sunshine_hours
2023-01-03,16.2,87.0,0.0,0.0
2023-01-04,14.8,91.0,0.0,0.0
2023-01-05,15.2,86.0,0.0,1.3
2023-01-06,14.5,89.0,0.0,0.8
2023-01-07,13.3,93.0,0.0,0.0
2023-01-08,16.0,88.0,0.0,2.6
2023-01-09,19.8,70.0,0.0,5.7
2023-01-10,21.0,59.0,0.0,6.0
2023-01-11,18.8,54.0,0.0,5.8
2023-01-12,16.3,71.0,0.0,4.4
2023-01-13,18.5,70.0,0.0,4.3
2023-01-14,20.2,85.0,0.0,0.0
2023-01-15,20.8,65.0,0.0,5.2
2023-01-16,19.3,60.0,0.0,3.3
2023-01-17,18.7,58.0,0.0,4.0
2023-01-18,17.9,63.0,0.0,3.9
2023-01-19,18.2,59.0,0.0,5.7
2023-01-20,18.9,65.0,0.0,4.4
2023-01-21,18.7,66.0,0.0,4.4
2023-01-22,20.0,67.0,0.0,5.7
2023-01-23,20.9,70.0,0.0,3.1
2023-01-24,21.3,69.0,0.0,4.5
2023-01-25,21.7,73.0,0.0,4.4
2023-01-26,22.3,75.0,0.0,0.0
2023-01-27,23.0,68.0,0.0,4.6
2023-01-28,22.4,72.0,0.0,5.9
2023-01-29,19.7,78.0,0.0,4.3
2023-01-30,21.4,75.0,0.0,5.7
2023-01-31,24.1,63.0,0.0,4.4
2023-02-01,22.3,61.0,0.0,0.3
2023-02-02,20.0,61.0,0.0,7.6
2023-02-03,20.7,67.0,0.0,7.4
2023-02-04,20.6,66.0,0.0,7.4
2023-02-05,20.9,60.0,0.0,8.3
2023-02-06,20.5,65.0,0.0,7.1
2023-02-07,22.1,70.0,0.0,6.8
2023-02-08,22.7,73.0,0.0,6.0
2023-02-09,23.3,73.0,0.0,2.8
2023-02-10,22.3,55.0,0.0,7.3
2023-02-11,23.9,59.0,0.0,7.7
2023-02-12,24.2,63.0,0.0,4.0
2023-02-13,21.9,32.0,0.0,8.2
2023-02-14,21.1,40.0,0.0,8.0
2023-02-15,21.3,52.0,0.0,7.9
2023-02-16,21.9,58.0,0.0,7.1
2023-02-17,22.3,61.0,0.0,4.9
2023-02-18,24.0,68.0,0.0,6.4
2023-02-19,24.5,72.0,0.0,3.0
2023-02-20,24.9,71.0,0.0,3.2
2023-02-21,25.4,75.0,0.0,3.5
2023-02-22,26.2,74.0,0.0,4.4
2023-02-23,26.8,67.0,0.0,6.1
2023-02-24,26.4,71.0,0.0,6.6
2023-02-25,25.3,55.0,2.0,7.6
2023-02-26,25.3,53.0,0.0,8.2
2023-02-27,26.4,56.0,0.0,6.7
2023-02-28,25.9,46.0,0.0,7.8
2023-03-01,26.0,50.0,0.0,7.7
2023-03-02,26.7,56.0,0.0,6.3
2023-03-03,26.8,53.0,0.0,7.6
2023-03-04,27.1,55.0,0.0,6.8
2023-03-05,27.2,56.0,0.0,4.8
2023-03-06,27.1,52.0,0.0,8.2
2023-03-07,27.3,46.0,0.0,7.8
2023-03-08,27.5,48.0,0.0,10.5
2023-03-09,27.6,48.0,0.0,7.1
2023-03-10,27.6,48.0,0.0,0.6
2023-03-11,27.4,54.0,0.0,4.1
